ano,percentual_nivel_5,percentual_nivel_8,percentual_nivel_1,tipo_localizacao,quantidade_alunos_inse,percentual_nivel_3,sigla_uf,sigla_uf_nome,inse,percentual_nivel_2,percentual_nivel_4,rede,area,percentual_nivel_6,percentual_nivel_7
2019,24.21,2.67,0.11,Total (Urbana e Rural),40516,6.18,PR,Paraná,5.55,2.12,13.89,Total (Estadual e Municipal),Capital,26.17,24.65
2019,24.21,2.67,0.11,Urbana,40516,6.18,PR,Paraná,5.55,2.12,13.89,Total (Estadual e Municipal),Capital,26.17,24.65
2019,24.05,2.79,0.11,Total (Urbana e Rural),40887,6.12,PR,Paraná,5.56,2.1,13.78,"Total (Federal, Estadual e Municipal)",Capital,26.09,24.96
2019,24.05,2.79,0.11,Urbana,40887,6.12,PR,Paraná,5.56,2.1,13.78,"Total (Federal, Estadual e Municipal)",Capital,26.09,24.96
2019,25.58,1.7,0.11,Total (Urbana e Rural),94451,7.1,SC,Santa Catarina,5.46,2.63,15.72,Estadual,Total (Capital e Interior),26.06,21.1
2019,24.44,1.99,0.11,Urbana,2568,9.61,SC,Santa Catarina,5.37,2.58,19.9,Municipal,Capital,24.33,17.05
2021,19.28,7.98,0.11,Total (Urbana e Rural),2083,2.92,AM,Amazonas,5.84,0.66,10.4,Privada,Capital,25.37,33.28
2021,19.77,7.85,0.11,Urbana,2312,2.9,AM,Amazonas,5.83,0.66,10.4,Privada,Total (Capital e Interior),25.4,32.93
2021,19.28,7.98,0.11,Urbana,2083,2.92,AM,Amazonas,5.84,0.66,10.4,Privada,Capital,25.37,33.28
2021,16.56,9.35,0.11,Urbana,844,4.94,AP,Amapá,5.85,0.91,10.3,Privada,Total (Capital e Interior),23,34.83
2021,16.84,11.27,0.11,Total (Urbana e Rural),1359,2.8,TO,Tocantins,5.93,1.01,8.76,Privada,Interior,25.31,33.9
2021,16.51,11.56,0.11,Urbana,1325,2.41,TO,Tocantins,5.95,0.88,8.22,Privada,Interior,25.67,34.64
2021,9.6,17.48,0.11,Total (Urbana e Rural),698,1.56,ES,Espírito Santo,6.26,0.33,2.87,Privada,Capital,20.74,47.32
2021,9.6,17.48,0.11,Urbana,698,1.56,ES,Espírito Santo,6.26,0.33,2.87,Privada,Capital,20.74,47.32
2021,25.74,2.15,0.11,Total (Urbana e Rural),164621,6.22,SC,Santa Catarina,5.5,2.05,14.98,Total (Estadual e Municipal),Total (Capital e Interior),26.6,22.14
2021,25.55,2.2,0.11,Urbana,154126,6.16,SC,Santa Catarina,5.51,2,14.81,Total (Estadual e Municipal),Total (Capital e Interior),26.72,22.45
2021,25.67,2.18,0.11,Total (Urbana e Rural),165518,6.17,SC,Santa Catarina,5.51,2.03,14.88,"Total (Federal, Estadual e Municipal)",Total (Capital e Interior),26.62,22.35
2021,25.47,2.23,0.11,Urbana,154987,6.11,SC,Santa Catarina,5.51,1.98,14.72,"Total (Federal, Estadual e Municipal)",Total (Capital e Interior),26.75,22.64
2019,23.44,4.83,0.12,Total (Urbana e Rural),1966,5.59,BA,Bahia,5.6,2.08,14.09,Privada,Interior,24.68,25.17
2019,22.42,3.63,0.12,Total (Urbana e Rural),4272,7.61,MG,Minas Gerais,5.53,3.55,14.48,Federal,Interior,22.8,25.39
2019,22.5,4.8,0.12,Urbana,704,6.32,ES,Espírito Santo,5.52,3.08,18,Federal,Interior,22,23.18
2019,6.47,21.04,0.12,Total (Urbana e Rural),734,0.64,ES,Espírito Santo,6.4,0.25,2.28,Privada,Capital,19.26,49.94
2019,6.47,21.04,0.12,Urbana,734,0.64,ES,Espírito Santo,6.4,0.25,2.28,Privada,Capital,19.26,49.94
2019,25.82,1.38,0.12,Total (Urbana e Rural),120936,10.75,PR,Paraná,5.27,4.73,20.06,Municipal,Total (Capital e Interior),21.62,15.52
2021,24.04,6.39,0.12,Total (Urbana e Rural),2927,7.41,PI,Piauí,5.54,2.61,17.05,Privada,Total (Capital e Interior),20.99,21.39
2021,24.08,6.41,0.12,Urbana,2882,7.33,PI,Piauí,5.54,2.53,17.06,Privada,Total (Capital e Interior),21.02,21.44
2021,28.96,1.36,0.12,Rural,10554,7.11,SC,Santa Catarina,5.39,2.83,17.55,"Total (Federal, Estadual, Municipal e Privada)",Total (Capital e Interior),24.42,17.65
2021,29.02,1.36,0.12,Rural,10463,7.16,SC,Santa Catarina,5.39,2.87,17.6,"Total (Federal, Estadual, Municipal e Privada)",Interior,24.38,17.49
2021,25.47,2.15,0.12,Total (Urbana e Rural),80844,5.92,SC,Santa Catarina,5.52,1.98,14.29,Estadual,Interior,27.17,22.91
2021,25.29,2.15,0.12,Urbana,80285,6.03,SC,Santa Catarina,5.52,2,14.45,Estadual,Total (Capital e Interior),27.02,22.94
2021,25.34,2.17,0.12,Urbana,77183,5.84,SC,Santa Catarina,5.53,1.92,14.16,Estadual,Interior,27.29,23.16
2021,24.47,2.42,0.12,Total (Urbana e Rural),2157,8.28,SC,Santa Catarina,5.45,2.34,16.35,Municipal,Capital,25.97,20.04
2021,28.99,1.36,0.12,Rural,10495,7.29,SC,Santa Catarina,5.38,2.91,17.87,Total (Estadual e Municipal),Total (Capital e Interior),24.56,16.89
2021,29.06,1.37,0.12,Rural,10404,7.34,SC,Santa Catarina,5.37,2.95,17.93,Total (Estadual e Municipal),Interior,24.52,16.72
2021,29.03,1.33,0.12,Rural,10531,7.14,SC,Santa Catarina,5.39,2.84,17.61,"Total (Federal, Estadual e Municipal)",Total (Capital e Interior),24.38,17.54
2021,29.1,1.33,0.12,Rural,10440,7.18,SC,Santa Catarina,5.38,2.88,17.67,"Total (Federal, Estadual e Municipal)",Interior,24.35,17.37
2019,19.49,6.69,0.14,Total (Urbana e Rural),2436,8.19,CE,Ceará,5.6,2.75,15.65,Privada,Capital,21.31,25.78
2019,19.49,6.69,0.14,Urbana,2436,8.19,CE,Ceará,5.6,2.75,15.65,Privada,Capital,21.31,25.78
2019,22.84,4.1,0.14,Urbana,290473,8.64,PR,Paraná,5.47,3.95,16.38,"Total (Federal, Estadual, Municipal e Privada)",Total (Capital e Interior),21.69,22.27
2019,23.93,2.73,0.14,Total (Urbana e Rural),24366,5.64,PR,Paraná,5.58,1.96,13.16,Estadual,Capital,26.42,26.02
2019,23.93,2.73,0.14,Urbana,24366,5.64,PR,Paraná,5.58,1.96,13.16,Estadual,Capital,26.42,26.02
2019,27.25,1.14,0.14,Rural,11993,9.16,SC,Santa Catarina,5.34,3.15,18.31,"Total (Federal, Estadual, Municipal e Privada)",Total (Capital e Interior),24.72,16.12
